zip,city,region,district
15201,Hai Phong,East,District #13
15202,Phu Ly,East,District #13
15203,Viet Tri,East,District #13
15204,Bac Giang,East,District #13
15205,Bac Giang,East,District #13
15206,Lao Cai,East,District #13
15207,Hai Phong,East,District #13
15208,Viet Tri,East,District #13
15209,Ha Long,East,District #13
15210,Hai Phong,East,District #13
15211,Cam Pha,East,District #13
15212,Son Tay,East,District #13
15213,Phu Ly,East,District #13
15214,Phu Ly,East,District #13
15215,Phu Ly,East,District #13
15216,Ninh Binh,East,District #13
15217,Cam Pha,East,District #13
15218,Hai Phong,East,District #13
15219,Ninh Binh,East,District #13
15220,Bac Giang,East,District #13
15221,Cam Pha,East,District #13
15222,Bac Ninh,East,District #13
15223,Ha Long,East,District #13
15224,Lao Cai,East,District #13
15225,Phu Ly,East,District #13
15226,Viet Tri,East,District #13
15227,Bac Ninh,East,District #13
15228,Ninh Binh,East,District #13
15229,Cam Pha,East,District #13
15230,Bac Giang,East,District #13
15231,Bac Giang,East,District #13
15232,Nam Dinh,East,District #13
15233,Hai Phong,East,District #13
15234,Cam Pha,East,District #13
15235,Lao Cai,East,District #13
15236,Hanoi,East,District #13
15237,Lao Cai,East,District #13
15238,Ninh Binh,East,District #13
15239,Nam Dinh,East,District #13
15240,Uong Bi,East,District #13
15241,Ha Long,East,District #13
15242,Phu Ly,East,District #13
15243,Viet Tri,East,District #13
15244,Thai Nguyen,East,District #13
15250,Hanoi,East,District #13
15251,Son Tay,East,District #13
15252,Bac Giang,East,District #13
15253,Lao Cai,East,District #13
15254,Viet Tri,East,District #13
15255,Phu Ly,East,District #13
15257,Phu Ly,East,District #13
15258,Ha Long,East,District #13
15259,Bac Ninh,East,District #13
15260,Bac Giang,East,District #13
15261,Bac Giang,East,District #13
15262,Hanoi,East,District #13
15264,Cam Pha,East,District #13
15265,Ha Long,East,District #13
15267,Phu Ly,East,District #13
15268,Viet Tri,East,District #13
15270,Lao Cai,East,District #13
15272,Phu Ly,East,District #13
15274,Bac Ninh,East,District #13
15275,Son Tay,East,District #13
15276,Bac Ninh,East,District #13
15277,Thai Nguyen,East,District #13
15278,Lao Cai,East,District #13
15279,Bac Ninh,East,District #13
15281,Hai Phong,East,District #13
15282,Bac Giang,East,District #13
15283,Ninh Binh,East,District #13
15286,Ha Long,East,District #13
15289,Bac Giang,East,District #13
15290,Hai Phong,East,District #13
15295,Viet Tri,East,District #13
15937,Bac Giang,East,District #13
15938,Thai Nguyen,East,District #13
15940,Nam Dinh,East,District #13
15942,Cam Pha,East,District #13
15943,Viet Tri,East,District #13
15944,Son Tay,East,District #13
15945,Bac Giang,East,District #13
15946,Ha Long,East,District #13
15948,Ninh Binh,East,District #13
15949,Uong Bi,East,District #13
15951,Viet Tri,East,District #13
15952,Hai Phong,East,District #13
15953,Thai Nguyen,East,District #13
15954,Phu Ly,East,District #13
15955,Ninh Binh,East,District #13
15956,Bac Giang,East,District #13
15957,Ninh Binh,East,District #13
15958,Ninh Binh,East,District #13
15959,Bac Ninh,East,District #13
15960,Lao Cai,East,District #13
15961,Thai Nguyen,East,District #13
15962,Nam Dinh,East,District #13
15963,Viet Tri,East,District #13
16001,Uong Bi,East,District #13
16002,Hai Phong,East,District #13
16003,Ninh Binh,East,District #13
16016,Ha Long,East,District #13
16017,Ninh Binh,East,District #13
16018,Hanoi,East,District #13
16020,Ninh Binh,East,District #13
16021,Ninh Binh,East,District #13
