Date,Revenue,COGS
2012-07-04,5123547.94,3982991.19
2012-07-05,2751773.45,2150580.23
2012-07-06,3054029.42,2517632.84
2012-07-07,2667930.94,2108246.62
2012-07-08,2360851.9,1808622.79
2012-07-09,3548386.46,2787841.68
2012-07-10,5234938.62,4044438.84
2012-07-11,5582884.78,4338313.07
2012-07-12,5734632.02,4458811.27
2012-07-13,5309511.71,4143402.78
2012-07-14,3820831.41,3075464.87
2012-07-15,3948841.28,3154482.05
2012-07-16,3503801.49,2708219.59
2012-07-17,4476729.49,3463061.65
2012-07-18,5184141.46,4072012.16
2012-07-19,6421487.11,5007270.91
2012-07-20,5171470.46,4213989.64
2012-07-21,3442157.02,2746075.45
2012-07-22,3117550.57,2531656.38
2012-07-23,4730517.69,3685006.66
2012-07-24,4096496.12,3248450.65
2012-07-25,5246688.08,4140019.37
2012-07-26,5851965.06,4579171.74
2012-07-27,5156699.45,3989402.2
2012-07-28,4326956.84,3403662.59
2012-07-29,4804199.65,3819645.91
2012-07-30,6586130.95,5195109.56
2012-07-31,9151622.14,7142891.18
2012-08-01,9148357.3,7308514.33
2012-08-02,9692427.0,7537501.15
2012-08-03,9297269.95,7118808.46
2012-08-04,6384195.03,5087528.11
2012-08-05,2359224.19,1863413.11
2012-08-06,3630003.7,2922718.71
2012-08-07,2240253.44,1781265.84
2012-08-08,2617553.36,1997006.42
2012-08-09,4478691.52,3621672.71
2012-08-10,3412496.65,2699279.56
2012-08-11,2732604.35,2168668.05
2012-08-12,3388181.83,2654275.25
2012-08-13,3928170.01,3189564.96
2012-08-14,4033912.16,3258198.58
2012-08-15,3780293.26,2886923.59
2012-08-16,5249978.18,4222455.97
2012-08-17,4089284.05,3238908.92
2012-08-18,3450015.71,2808916.94
2012-08-19,3904300.93,3006801.4
2012-08-20,3541027.32,2827038.81
2012-08-21,4147483.23,3364364.64
2012-08-22,4597682.81,3562468.33
2012-08-23,5478869.55,4195738.04
2012-08-24,4637850.57,3632210.67
2012-08-25,3589566.28,2784342.75
2012-08-26,4280204.53,3476942.48
2012-08-27,3038895.84,2365260.68
2012-08-28,9508676.62,7439851.59
2012-08-29,9260558.32,7336294.54
2012-08-30,10086534.1,7950911.72
2012-08-31,9104678.52,7277460.12
2012-09-01,8560208.92,6738335.17
2012-09-02,2587099.44,1946097.28
2012-09-03,3865505.01,3063431.08
2012-09-04,3645749.44,2876968.79
2012-09-05,2398185.51,1966376.48
2012-09-06,2858227.37,2147909.96
2012-09-07,3282753.8,2580035.06
2012-09-08,3666204.89,2804001.32
2012-09-09,4458501.42,3589475.8
2012-09-10,4548962.79,3517300.88
2012-09-11,4021565.55,3264364.41
2012-09-12,3335978.29,2673690.65
2012-09-13,2609609.29,2103806.97
2012-09-14,3729228.43,2835412.27
2012-09-15,3605125.64,2849539.9
2012-09-16,4452012.44,3561492.95
2012-09-17,4811788.67,3932069.23
2012-09-18,5078878.07,4123200.89
2012-09-19,3680241.62,3014323.76
2012-09-20,3763143.75,3080273.62
2012-09-21,3943768.14,2978697.93
2012-09-22,3872374.03,3011266.74
2012-09-23,4118299.54,3294951.2
2012-09-24,5733263.53,4585762.62
2012-09-25,5639897.53,4502395.62
2012-09-26,4592282.59,3670417.04
2012-09-27,7556892.66,6017108.13
2012-09-28,4892631.14,3884590.92
2012-09-29,5304374.46,4170120.63
2012-09-30,4694379.86,3812737.52
2012-10-01,4752532.1,3764447.04
2012-10-02,3233135.78,2566510.62
2012-10-03,3515132.03,2762823.63
2012-10-04,2398137.74,1902425.74
2012-10-05,2665953.06,2064899.19
2012-10-06,2205266.94,1755004.4
2012-10-07,3389598.07,2725469.75
2012-10-08,4037039.45,3285493.04
2012-10-09,4298675.76,3472700.63
2012-10-10,3548716.67,2839202.59
2012-10-11,3421490.39,2765374.16
2012-10-12,2380119.87,1830898.15
2012-10-13,2798011.44,2256579.15
2012-10-14,3055629.78,2516987.32
2012-10-15,3234517.3,2632811.8
2012-10-16,3549298.21,2763325.25
2012-10-17,3818048.0,3108682.75
2012-10-18,2909728.89,2301277.14
2012-10-19,2877379.81,2352068.71
2012-10-20,3242557.3,2647331.71
2012-10-21,2395609.91,1920246.47
2012-10-22,3596158.34,2873316.18
2012-10-23,3999141.88,3151858.27
