date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source
2013-01-01,9760,7253,39093,0.00514,102.9,organic_search
2013-01-02,10456,8151,47611,0.00406,120.5,organic_search
2013-01-03,10076,7458,36963,0.00401,263.6,direct
2013-01-04,9973,8063,53078,0.00562,151.8,direct
2013-01-05,10223,7882,36790,0.00525,168.6,referral
2013-01-06,9545,6992,47160,0.00438,263.6,social_media
2013-01-07,10203,7354,32749,0.00443,252.1,organic_search
2013-01-08,9456,7459,31482,0.0044,192.4,paid_search
2013-01-09,9162,7108,46717,0.00409,312.8,organic_search
2013-01-10,9887,7878,38472,0.00544,285.4,organic_search
2013-01-11,9412,7368,46916,0.00356,238.2,social_media
2013-01-12,8730,6136,33336,0.00386,193.3,paid_search
2013-01-13,8818,6863,35427,0.00372,308.8,paid_search
2013-01-14,8230,6203,35402,0.004,301.5,paid_search
2013-01-15,8102,6179,39490,0.00445,314.0,direct
2013-01-16,9373,7503,37034,0.00446,284.4,paid_search
2013-01-17,9819,7503,48840,0.00495,162.5,social_media
2013-01-18,10041,7821,35761,0.00509,182.0,email_campaign
2013-01-19,8746,6138,33440,0.00546,223.1,organic_search
2013-01-20,10270,8030,35184,0.00501,283.9,email_campaign
2013-01-21,10339,8283,40661,0.00429,152.6,paid_search
2013-01-22,10100,7469,39597,0.00504,250.0,email_campaign
2013-01-23,9307,7261,39117,0.00451,243.9,referral
2013-01-24,9698,7034,36976,0.00503,144.4,organic_search
2013-01-25,10600,7868,42453,0.00385,195.6,email_campaign
2013-01-26,10226,8004,42655,0.00566,245.5,organic_search
2013-01-27,8604,6327,44601,0.00554,222.6,referral
2013-01-28,9701,7636,51697,0.00447,258.0,direct
2013-01-29,8638,6928,42663,0.00329,299.3,email_campaign
2013-01-30,8596,6245,30451,0.00394,173.9,paid_search
2013-01-31,8915,6530,47230,0.00344,109.4,paid_search
2013-02-01,15758,11220,63433,0.00409,116.7,organic_search
2013-02-02,15027,12295,56597,0.0039,208.2,email_campaign
2013-02-03,14372,10507,72606,0.0043,215.7,social_media
2013-02-04,15623,12726,62972,0.00524,194.6,organic_search
2013-02-05,14177,11064,62917,0.00429,138.2,social_media
2013-02-06,14103,10525,66736,0.00367,286.6,referral
2013-02-07,14761,10967,66344,0.005,190.5,paid_search
2013-02-08,14467,10993,59452,0.00549,227.1,social_media
2013-02-09,14578,10995,47223,0.00548,237.0,social_media
2013-02-10,16602,12760,61322,0.00387,199.5,organic_search
2013-02-11,15063,11080,60064,0.00526,223.3,paid_search
2013-02-12,15368,11408,65858,0.00363,162.4,social_media
2013-02-13,13346,9812,50414,0.0047,193.8,social_media
2013-02-14,17180,13040,85934,0.00387,254.4,paid_search
2013-02-15,13633,10416,74873,0.00565,238.7,paid_search
2013-02-16,15360,12159,73050,0.00487,203.7,direct
2013-02-17,14662,10421,77351,0.00468,314.8,organic_search
2013-02-18,13304,9946,43820,0.00573,140.6,organic_search
2013-02-19,16231,11522,82447,0.00365,173.8,paid_search
2013-02-20,14347,11037,75545,0.00396,224.8,paid_search
2013-02-21,14194,11525,54818,0.00546,118.2,organic_search
2013-02-22,15750,12758,61771,0.00439,239.1,organic_search
2013-02-23,14540,11603,61974,0.00358,189.1,organic_search
2013-02-24,13758,9915,63623,0.00527,147.8,organic_search
2013-02-25,13676,10852,72244,0.00518,177.9,paid_search
2013-02-26,15824,11642,60025,0.00333,169.9,social_media
2013-02-27,15908,11989,72791,0.00323,290.3,direct
2013-02-28,15284,11512,56308,0.00441,286.2,email_campaign
2013-03-01,20573,15216,82066,0.0047,125.7,organic_search
2013-03-02,18275,14004,64834,0.00437,161.4,organic_search
2013-03-03,19075,15498,69465,0.00346,286.8,paid_search
2013-03-04,21760,16400,112923,0.00459,204.5,organic_search
2013-03-05,21169,15161,90533,0.00389,283.0,paid_search
2013-03-06,19422,13780,66932,0.00558,143.8,paid_search
2013-03-07,20205,14897,74215,0.00534,308.2,referral
2013-03-08,21327,17243,72483,0.00557,127.9,paid_search
2013-03-09,20046,15758,91235,0.00377,314.3,referral
2013-03-10,19505,15320,104073,0.00354,185.0,organic_search
2013-03-11,21480,15406,115544,0.00419,296.4,direct
2013-03-12,16857,13571,82314,0.00395,179.0,referral
2013-03-13,23166,18652,76524,0.00413,287.0,organic_search
2013-03-14,18997,14391,77150,0.0056,129.7,paid_search
2013-03-15,20137,15797,106673,0.00347,171.3,referral
2013-03-16,20761,16647,90756,0.00464,254.5,paid_search
2013-03-17,17101,12496,79841,0.00344,161.6,paid_search
2013-03-18,22860,18012,120159,0.00396,174.6,social_media
2013-03-19,17631,14247,85400,0.00525,214.5,direct
2013-03-20,21762,16804,116234,0.00568,202.2,social_media
2013-03-21,22061,17031,119803,0.00578,171.4,organic_search
2013-03-22,20729,16912,71130,0.00372,195.9,paid_search
2013-03-23,21609,15589,92824,0.00402,223.6,social_media
2013-03-24,20504,16771,96571,0.00439,234.1,organic_search
2013-03-25,16659,12105,60697,0.00368,189.0,organic_search
2013-03-26,20555,16341,109308,0.00577,242.7,social_media
2013-03-27,16879,12285,56985,0.00543,115.8,paid_search
2013-03-28,18569,14393,98414,0.00334,221.0,paid_search
2013-03-29,19856,14231,93944,0.00555,218.4,social_media
2013-03-30,21034,15942,82344,0.00472,169.5,social_media
2013-03-31,21610,16402,74076,0.00408,188.6,organic_search
2013-04-01,24812,17641,117628,0.00551,178.5,social_media
2013-04-02,26607,19633,99501,0.00523,246.4,organic_search
2013-04-03,26624,19598,107204,0.00518,275.2,organic_search
2013-04-04,21608,16833,111095,0.00536,192.1,social_media
2013-04-05,32435,24802,158360,0.00421,269.6,organic_search
2013-04-06,32500,24533,108393,0.00473,156.1,social_media
2013-04-07,27260,21972,126098,0.00463,109.8,paid_search
2013-04-08,30848,21771,155647,0.00484,119.5,social_media
2013-04-09,25156,17669,137296,0.0034,312.2,organic_search
2013-04-10,29194,23157,116383,0.00481,293.9,social_media
2013-04-11,29054,21204,96574,0.00493,251.0,organic_search
2013-04-12,24892,19582,95949,0.00454,168.3,direct
2013-04-13,27517,21818,149988,0.00399,156.1,paid_search
2013-04-14,23814,16876,78359,0.00341,252.7,referral
2013-04-15,30902,22373,159594,0.0049,197.6,organic_search
2013-04-16,27551,21877,99161,0.00504,239.0,email_campaign
2013-04-17,29585,21004,94904,0.00452,105.9,social_media
2013-04-18,24098,19494,113622,0.0055,206.2,paid_search
2013-04-19,27256,21981,90395,0.00392,109.1,paid_search
2013-04-20,21636,15934,90602,0.00495,204.7,referral
2013-04-21,24267,19025,133036,0.00363,309.0,email_campaign
2013-04-22,28085,22427,141532,0.00488,302.2,email_campaign
2013-04-23,27068,19210,88898,0.00466,227.3,paid_search
2013-04-24,33819,25856,134590,0.00461,110.1,organic_search
2013-04-25,25153,20499,119550,0.00575,207.3,direct
2013-04-26,25454,18300,131458,0.00556,204.8,social_media
2013-04-27,23854,17383,104436,0.00467,203.7,email_campaign
2013-04-28,26593,20990,92764,0.00388,199.8,organic_search
2013-04-29,30100,21412,127202,0.00508,142.8,direct
2013-04-30,26638,20421,114824,0.00385,250.7,referral
2013-05-01,25484,20167,121645,0.00389,319.7,direct
2013-05-02,27523,21551,148318,0.00521,270.6,paid_search
2013-05-03,27201,20147,109468,0.00408,186.8,email_campaign
2013-05-04,26616,18955,87588,0.00566,226.5,organic_search
2013-05-05,26820,19885,116224,0.00383,209.1,email_campaign
2013-05-06,24933,19563,109347,0.00459,111.7,social_media
2013-05-07,28589,21318,147402,0.00555,197.7,organic_search
